oid,tid,sid,meanra,meandec,sigmara,sigmadec,firstmjd,lastmjd,deltamjd,n_det,n_forced,n_non_det,created_date,updated_date,classifier_id,classifier_version,class_id,probability,ranking
313765480543813793,1,1,60.55869797426263,-49.05929583064512,1.171558775348396e-05,1.3013922149891353e-05,61004.30177726407,61095.089168330014,90.7873910659473,20,190,0,2026-02-13,2026-02-24,1,201,0,0.9970901,1
170032924022800424,1,1,186.22882407938388,7.4448030666430345,4.080486847680049e-06,3.9295704161741244e-06,61090.25169201729,61095.21515192313,4.963459905833588,17,173,0,2026-02-20,2026-02-24,1,201,0,0.99684155,1
313897384074018915,1,1,63.5882642792961,-47.71047985786503,1.7679834865900192e-05,1.7851527632532682e-05,61034.16176667064,61094.11253117253,59.95076450189663,10,119,0,2026-02-13,2026-02-24,1,201,0,0.9967775,1
313897384103379107,1,1,63.96014834731994,-48.9738268306469,2.3290360387518123e-05,2.255245182679035e-05,61034.16176667064,61095.08873411984,60.92696744920249,15,149,0,2026-02-13,2026-02-24,1,201,0,0.99636495,1
313893023122980956,1,1,62.081008877109966,-46.931758557274826,2.830005632783495e-07,2.7684869885137985e-07,61033.284792668026,61095.09486140936,61.810068741331634,150,184,0,2026-02-13,2026-02-24,1,201,0,0.9957948,1
170028528485531717,1,1,186.6946530694964,7.918190349654006,7.304178000599293e-07,7.458321043836364e-07,61090.25633787492,61095.20947853092,4.953140655998141,47,267,0,2026-02-20,2026-02-24,1,201,0,0.9957696,1
170028528365993996,1,1,186.19604636424745,7.352936386466798,1.4135759174746482e-05,1.4881810746105757e-05,61090.25169201729,61095.19296346606,4.9412714487698395,23,230,0,2026-02-20,2026-02-24,1,201,0,0.9955504,1
170028526873870371,1,1,186.8082340053121,8.48241621149749,6.33356125223919e-08,6.659056725450653e-08,61090.24939239549,61098.24137255241,7.991980156919453,457,464,0,2026-02-19,2026-02-27,1,201,0,0.9953681,1
313897384094990464,1,1,62.57922750431194,-47.370058326713675,2.821593813586602e-07,2.77529105266244e-07,61034.16176667064,61095.09486140936,60.93309473872068,98,181,0,2026-02-13,2026-02-24,1,201,0,0.99496704,1
170028527120285721,1,1,185.71178619441906,8.560047685208211,7.084592800137504e-06,7.425729361155369e-06,61090.25169201729,61095.21562036784,4.963928350545757,21,236,0,2026-02-20,2026-02-24,1,201,0,0.99487805,1
170028528508600371,1,1,187.40399791908152,7.932836536593536,2.9939078657574458e-05,2.984140805188818e-05,61090.25355513746,61095.2032336104,4.949678472941741,13,174,0,2026-02-20,2026-02-24,1,201,0,0.9947632,1
