oid,measurement_id,sid,mjd,ra,dec,band,created_date,parentdiasourceid,visit,detector,diaobjectid,ssobjectid,raerr,decerr,ra_dec_cov,x,xerr,y,yerr,centroid_flag,apflux,apfluxerr,apflux_flag,apflux_flag_aperturetruncated,isnegative,snr,psfflux,psffluxerr,psflnl,psfchi2,psfndata,psfflux_flag,psfflux_flag_edge,psfflux_flag_nogoodpixels,trailflux,trailfluxerr,trailra,trailraerr,traildec,traildecerr,traillength,traillengtherr,trailangle,trailangleerr,trailchi2,trailndata,trail_flag_edge,dipolemeanflux,dipolemeanfluxerr,dipolefluxdiff,dipolefluxdifferr,dipolelength,dipoleangle,dipolechi2,dipolendata,scienceflux,sciencefluxerr,forced_psfflux_flag,forced_psfflux_flag_edge,forced_psfflux_flag_nogoodpixels,templateflux,templatefluxerr,ixx,iyy,ixy,ixxpsf,iyypsf,ixypsf,shape_flag,shape_flag_no_pixels,shape_flag_not_contained,shape_flag_parent_source,extendedness,reliability,isdipole,dipolefitattempted,timeprocessedmjdtai,timewithdrawnmjdtai,bboxsize,pixelflags,pixelflags_bad,pixelflags_cr,pixelflags_crcenter,pixelflags_edge,pixelflags_nodata,pixelflags_nodatacenter,pixelflags_interpolated,pixelflags_interpolatedcenter,pixelflags_offimage,pixelflags_saturated,pixelflags_saturatedcenter,pixelflags_suspect,pixelflags_suspectcenter,pixelflags_streak,pixelflags_streakcenter,pixelflags_injected,pixelflags_injectedcenter,pixelflags_injected_template,pixelflags_injected_templatecenter,glint_trail,has_stamp,visual_classification,AGN_prob,SN_prob,VS_prob,asteroid_prob,bogus_prob
170054993402920962,170054993402920962,1,61096.343355337885,185.02554956231245,7.69384712088073,3,2026-02-25,0,2026022400946,66,170054993402920962,0,1.1071925e-05,1.2030661e-05,-6.0198075e-12,2428.3604,0.21793129,93.843216,0.19817978,False,5294.831,690.3517,False,False,False,18.568352,4754.6655,247.6534,,3272.4895,1681,False,False,False,6847.276,18.37674,185.02551198114168,,7.693793604392914,,1.895076,,20.223215,,,0,False,,,,,,,,0,18683.252,245.70624,False,False,False,14265.253,77.64827,0.3130412,0.15586524,0.2125662,0.12217751,0.203319,0.037424255,False,False,False,False,0.5467004,0.5287134,False,False,61096.34506284859,,34,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,cosmic ray,0.0040148934,0.9845589,8.898056e-05,0.0008863691,0.010450861
170054993284432084,170054993284432084,1,61096.34271335361,186.12193284358065,7.3216180706174745,3,2026-02-25,0,2026022400945,96,170054993284432084,0,3.2819025e-05,5.4963253e-05,4.6715243e-10,3394.1348,0.5603942,1887.9327,1.0058815,False,-10887.696,1214.6315,False,False,True,5.404091,-2528.033,442.6968,,1740.8464,1681,False,False,False,-7033.697,217.37433,186.12130931798484,,7.321289037962793,,4.9388056,,-112.4417,,,0,False,,,,,,,,0,191533.03,409.0987,False,False,False,197994.52,99.873985,4.684247,3.9016013,-1.10959,0.15622692,0.17659204,0.017531976,False,False,False,False,1.0,0.5531234,False,False,61096.34443841975,,54,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,no clear source,0.0038475723,0.9449892,0.00014154236,0.0017568617,0.049264736
170054993734271084,170054993734271084,1,61096.34428975891,187.4345798903008,7.99619210665168,3,2026-02-25,0,2026022400948,186,170054993734271084,0,4.486121e-06,8.497725e-06,-2.2299945e-11,2526.4526,0.1615509,1476.8339,0.062199876,False,8804.697,1066.219,False,False,False,27.29231,12404.888,431.04416,,3429.62,1681,False,False,False,13929.52,56.71471,187.43457875038823,,7.996221432387505,,1.6206943,,-0.10200094,,,0,False,,,,,,,,0,137658.61,404.10977,False,False,False,115379.445,80.08295,0.2972964,0.044397168,0.107590415,0.23930337,0.19088364,0.0274802,False,False,False,False,0.2040715,0.5298207,False,False,61096.34629538082,,24,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,cosmic ray,0.0038543702,0.9912162,5.402311e-05,0.00073192734,0.0041435435
170054993954996307,170054993954996307,1,61096.34522383463,186.11031760142896,7.293675357040069,3,2026-02-25,0,2026022400950,95,170054993954996307,0,5.85598e-06,9.394608e-06,-3.551003e-11,3692.4023,0.18507344,2029.8438,0.07345888,False,9389.411,721.45184,False,False,False,20.590322,5609.7095,251.4314,,2994.1687,1681,False,False,False,,,,,,,,,,,,0,False,,,,,,,,0,13525.549,256.05228,False,False,False,8835.499,71.565765,,,,0.15924211,0.13237385,-0.0033274535,True,False,False,False,,0.51343936,False,False,61096.34692304037,,40,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,cosmic ray,0.0027174826,0.9465113,0.00018413158,0.0025823114,0.048004813
170054994243354732,170054994243354732,1,61096.34615385277,187.3722905941147,6.77141280577501,3,2026-02-25,0,2026022400952,133,170054994243354732,0,1.25076e-05,1.7050086e-05,-1.4146109e-10,627.108,0.35100952,2938.7102,0.14741874,False,6209.0747,749.67413,False,False,False,23.785076,6548.1167,279.41394,,3046.4595,1681,False,False,False,,,,,,,,,,,,0,False,,,,,,,,0,41551.64,275.7532,False,False,False,34797.125,68.0756,,,,0.18058166,0.16036646,0.018374082,True,False,False,False,,0.53548723,False,False,61096.34781661112,,23,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,cosmic ray,0.0060368637,0.9784846,9.1317226e-05,0.0012536742,0.014133519
170054994133254153,170054994133254153,1,61096.34568919566,187.72327706815756,8.167390453862927,3,2026-02-25,0,2026022400951,179,170054994133254153,0,1.1917142e-05,1.8613619e-05,-1.6417627e-10,1519.3688,0.37664658,195.3541,0.12861708,False,2336.295,647.6453,False,False,False,15.412017,3885.1047,249.37848,,2237.6648,1681,False,False,False,,,,,,,,,,,,0,False,,,,,,,,0,10839.131,247.3272,False,False,False,6925.779,95.1731,,,,0.17708303,0.16358958,0.018193189,True,False,False,False,,0.76223415,False,False,61096.34746619318,,21,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,cosmic ray,0.2899649,0.40956333,0.003717216,0.016147083,0.28060746
170054994130108654,170054994130108654,1,61096.34568919566,187.44664056567927,7.998532138725203,3,2026-02-25,0,2026022400951,173,170054994130108654,0,3.47286e-05,3.1227344e-05,1.8516891e-10,1269.0674,0.5315625,2855.9412,0.6518654,False,14934.56,2591.6907,False,False,False,5.4143677,5226.931,922.20966,,1674.8387,1681,False,False,False,6991.4116,120.32761,187.44665198335377,,7.998585632580563,,1.9094092,,54.760773,,,0,False,,,,,,,,0,1145237.8,901.0437,False,False,False,1144400.8,181.32095,0.19174626,0.5731239,0.04168423,0.1782429,0.15061142,0.017394952,False,False,False,False,0.9992772,0.66724056,False,False,61096.34756544093,,13,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,no clear source,0.010572246,0.72590965,0.0002551208,0.0032082084,0.2600548
170054995162955955,170054995162955955,1,61096.35105625914,186.1133433785143,7.316128424245676,3,2026-02-25,0,2026022400959,95,170054995162955955,0,3.3786033e-05,3.6389174e-05,3.055311e-10,2870.1926,0.54373574,2332.0583,0.7085413,False,-11146.955,1321.911,False,False,True,5.686523,-2973.8098,498.35522,,1739.1396,1681,False,False,False,-4661.775,37.89258,186.11330296537676,,7.316102055544319,,2.6727352,,-105.59164,,,0,False,,,,,,,,0,270994.9,477.84634,False,False,False,275737.94,125.69499,0.4021813,0.6202664,-0.41958812,0.19008723,0.17647578,0.01658987,False,False,False,False,0.9999996,0.5224741,False,False,61096.35284674461,,15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,no clear source,0.012145322,0.75073767,0.00025263007,0.0030768486,0.2337875
170054995445023869,170054995445023869,1,61096.35201877723,187.60360243714754,6.037065672052249,3,2026-02-25,0,2026022400961,121,170054995445023869,0,1.7170012e-05,1.7347926e-05,-1.0314792e-11,1167.837,0.31675845,2432.188,0.30523682,False,6746.5005,664.39355,False,False,False,14.893944,4395.3447,289.07916,,1791.175,1681,False,False,False,5134.199,7.1938653,187.60361096104825,,6.037077894542398,,1.5910326,,19.172651,,,0,False,,,,,,,,0,7253.313,276.19556,False,False,False,2767.9941,76.32861,0.3840571,0.48439378,0.111849375,0.24839108,0.24690482,0.030626254,False,False,False,False,0.97048295,0.964131,False,False,61096.35346542903,,60,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,SN,0.022102777,0.94740105,0.00052804046,0.027975904,0.001992382
170054995733905560,170054995733905560,1,61096.35295472297,185.7992746258876,8.729665466996355,3,2026-02-25,0,2026022400963,160,170054995733905560,0,7.715641e-06,7.827233e-06,-2.9072791e-11,2956.8635,0.17062868,3583.3499,0.100869186,False,7106.0176,764.6121,False,False,False,21.105633,5880.128,276.4075,,2904.6125,1681,False,False,False,8508.813,24.811787,185.79930208708467,,8.729671061013741,,1.9679848,,-77.90171,,,0,False,,,,,,,,0,23870.734,270.59653,False,False,False,17572.828,87.44424,0.34419376,0.15801705,-0.22679906,0.13071261,0.14340423,0.0028093383,False,False,False,False,0.9075295,0.80142236,False,False,61096.35459906384,,20,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,cosmic ray,0.0503492,0.9347148,0.00033145526,0.002645705,0.011958838
170054995612270684,170054995612270684,1,61096.35248783107,186.66822434613408,8.240017110505633,3,2026-02-25,0,2026022400962,184,170054995612270684,0,5.477428e-06,5.972631e-06,-2.062912e-11,285.67957,0.1319274,3528.7651,0.062517606,False,6106.49,684.36285,False,False,False,28.08556,8523.783,294.4648,,3599.4722,1681,False,False,False,,,,,,,,,,,,0,False,,,,,,,,0,34734.523,295.34467,False,False,False,25990.016,47.145752,,,,0.18861188,0.17542306,0.015288298,True,False,False,False,,0.5090921,False,False,61096.35412308464,,24,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,cosmic ray,0.07752495,0.90190095,0.00060414086,0.0028948043,0.01707508
170054995701399813,170054995701399813,1,61096.35295472297,186.11383445732363,7.315437069719368,3,2026-02-25,0,2026022400963,98,170054995701399813,0,8.087091e-05,8.244306e-05,-4.1873607e-09,1939.9149,1.8740032,2583.0078,0.895655,False,-7178.3735,1358.137,False,False,True,5.1725183,-2728.977,521.52057,,1722.718,1681,False,False,False,-3934.5962,166.61456,186.1138595781261,,7.315422583581034,,2.0415034,,-25.754341,,,0,False,,,,,,,,0,295306.2,492.49973,False,False,False,299842.44,144.12035,0.65034634,0.30017745,0.13070935,0.20508766,0.17828694,0.01595707,False,False,False,False,0.9999717,0.50731546,False,False,61096.35484565198,,13,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,no clear source,0.012029172,0.80458003,0.00021171979,0.0029319387,0.18024707
